Time,Latitude,Longitude
889.0,36.13999969,-86.88729874
890.0,36.14018146,-86.88704431
891.0,36.14038145,-86.88681137
892.0,36.14056336,-86.88656654
893.0,36.14074806,-86.88632146
894.0,36.14094896,-86.88609427
895.0,36.14113721,-86.88585753
896.0,36.14134122,-86.88563194
897.0,36.14152254,-86.88538223
898.0,36.14170657,-86.88514301
899.0,36.14190253,-86.88490699
900.0,36.14209451,-86.88467046
901.0,36.14229071,-86.88443455
902.0,36.14247636,-86.88418836
903.0,36.14265784,-86.88394767
904.0,36.14284112,-86.88369674
905.0,36.14303194,-86.88344733
906.0,36.14322999,-86.88321405
907.0,36.14340776,-86.88295838
908.0,36.14357391,-86.88267974
909.0,36.14376554,-86.88245836
910.0,36.14394984,-86.8821759
911.0,36.14411196,-86.88189037
912.0,36.14431651,-86.88169354
913.0,36.14448826,-86.88143454
914.0,36.14465372,-86.88113867
915.0,36.14486994,-86.88093531
916.0,36.14505028,-86.88066554
917.0,36.14524839,-86.88039294
918.0,36.14544273,-86.88013446
919.0,36.14564273,-86.87988176
920.0,36.14583521,-86.87961898
921.0,36.14603001,-86.87935285
922.0,36.14622493,-86.87909074
923.0,36.14641351,-86.87880601
924.0,36.14661632,-86.87855968
925.0,36.14682118,-86.87832027
926.0,36.14700487,-86.87805114
927.0,36.14719465,-86.87779914
928.0,36.1473698,-86.87753285
929.0,36.14754655,-86.87727129
930.0,36.14771279,-86.87698816
931.0,36.14788036,-86.87670913
932.0,36.14803361,-86.8764115
933.0,36.14819957,-86.87613136
934.0,36.14835503,-86.87583489
935.0,36.1485032,-86.8755332
936.0,36.14864966,-86.8752304
937.0,36.14877708,-86.87491457
938.0,36.1489074,-86.87460198
939.0,36.14904209,-86.87429185
940.0,36.14915536,-86.87396654
941.0,36.14928724,-86.87366001
942.0,36.14938874,-86.87332972
943.0,36.14947991,-86.87299885
944.0,36.14957795,-86.87269712
945.0,36.14965239,-86.87236182
946.0,36.14970132,-86.87201891
947.0,36.14977196,-86.87168543
948.0,36.14985075,-86.87136353
949.0,36.14991383,-86.87103348
950.0,36.14996411,-86.87067979
951.0,36.15001995,-86.87034464
952.0,36.15006801,-86.87000072
953.0,36.15012023,-86.86967453
954.0,36.15015828,-86.86932816
955.0,36.15019558,-86.86898541
956.0,36.15024007,-86.86864473
957.0,36.15028023,-86.86830627
958.0,36.1503182,-86.86797903
959.0,36.15035669,-86.8676549
960.0,36.15039943,-86.86733513
961.0,36.1504346,-86.86701468
962.0,36.15046357,-86.86669752
963.0,36.15049941,-86.8663713
964.0,36.15053522,-86.86604867
965.0,36.15057,-86.86572725
966.0,36.15062684,-86.86541571
967.0,36.1506748,-86.86509492
968.0,36.15072726,-86.8647762
969.0,36.15078511,-86.86445632
970.0,36.15085191,-86.86413591
971.0,36.15090867,-86.86381066
972.0,36.15097885,-86.86348438
973.0,36.15105241,-86.86315902
974.0,36.15112406,-86.86283771
975.0,36.1512025,-86.86251276
976.0,36.15127557,-86.86218664
977.0,36.15135566,-86.8618701
978.0,36.15143622,-86.86155193
979.0,36.15152231,-86.86123599
980.0,36.15160445,-86.86092155
981.0,36.15168123,-86.86059912
982.0,36.15176256,-86.86028733
983.0,36.15184287,-86.85997142
984.0,36.15192683,-86.85966515
985.0,36.15200731,-86.8593528
986.0,36.15208463,-86.85902718
987.0,36.1521568,-86.85870376
988.0,36.15223174,-86.85838553
989.0,36.15230539,-86.85806517
990.0,36.15237907,-86.85774069
991.0,36.15244252,-86.85739407
992.0,36.15250985,-86.85707948
993.0,36.15258051,-86.85674013
994.0,36.15264304,-86.85641084
995.0,36.15270716,-86.85608684
996.0,36.15276591,-86.85575475
